#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Sun Nov 01 23:00:05 EST 2020,68,68,Assignment4Suite,CacheTest0+ CacheTest1+ CacheTest2+ CacheTest3+ CacheTest4+ CacheTest5+ CacheTest6+ CacheTest7+ CacheTest8+ CacheTest9+ HeapDelMinTest1+ HeapDelMinTest10+ HeapDelMinTest11+ HeapDelMinTest12+ HeapDelMinTest13+ HeapDelMinTest14+ HeapDelMinTest2+ HeapDelMinTest3+ HeapDelMinTest4+ HeapDelMinTest5+ HeapDelMinTest6+ HeapDelMinTest7+ HeapDelMinTest8+ HeapDelMinTest9+ HeapIncDecEltTest0+ HeapInsertTest0+ HeapInsertTest1+ HeapInsertTest2+ HeapInsertTest3+ HeapInsertTest4+ , ,CacheHeapTest0- CacheHeapTest1- CacheHeapTest2- CacheHeapTest3- CacheMapTest0- CacheMapTest1- CacheMapTest2- CacheMapTest3- HeapDelMinTest0- HeapIncDecEltTest1- HeapIncDecEltTest2- HeapIncDecEltTest3- HeapIncDecEltTest4- HeapIncDecEltTest5- , ,
1,Sun Nov 01 23:02:32 EST 2020,68,0,Assignment4Suite,CacheTest0 CacheTest1 CacheTest2 CacheTest3 CacheTest4 CacheTest5 CacheTest6 CacheTest7 CacheTest8 CacheTest9 HeapDelMinTest1 HeapDelMinTest10 HeapDelMinTest11 HeapDelMinTest12 HeapDelMinTest13 HeapDelMinTest14 HeapDelMinTest2 HeapDelMinTest3 HeapDelMinTest4 HeapDelMinTest5 HeapDelMinTest6 HeapDelMinTest7 HeapDelMinTest8 HeapDelMinTest9 HeapIncDecEltTest0 HeapInsertTest0 HeapInsertTest1 HeapInsertTest2 HeapInsertTest3 HeapInsertTest4 , ,CacheHeapTest0 CacheHeapTest1 CacheHeapTest2 CacheHeapTest3 CacheMapTest0 CacheMapTest1 CacheMapTest2 CacheMapTest3 HeapDelMinTest0 HeapIncDecEltTest1 HeapIncDecEltTest2 HeapIncDecEltTest3 HeapIncDecEltTest4 HeapIncDecEltTest5 , ,
2,Sun Nov 01 23:03:38 EST 2020,70,2,Assignment4Suite,CacheTest0 CacheTest1 CacheTest2 CacheTest3 CacheTest4 CacheTest5 CacheTest6 CacheTest7 CacheTest8 CacheTest9 HeapDelMinTest0+ HeapDelMinTest1 HeapDelMinTest10 HeapDelMinTest11 HeapDelMinTest12 HeapDelMinTest13 HeapDelMinTest14 HeapDelMinTest2 HeapDelMinTest3 HeapDelMinTest4 HeapDelMinTest5 HeapDelMinTest6 HeapDelMinTest7 HeapDelMinTest8 HeapDelMinTest9 HeapIncDecEltTest0 HeapInsertTest0 HeapInsertTest1 HeapInsertTest2 HeapInsertTest3 HeapInsertTest4 , ,CacheHeapTest0 CacheHeapTest1 CacheHeapTest2 CacheHeapTest3 CacheMapTest0 CacheMapTest1 CacheMapTest2 CacheMapTest3 HeapIncDecEltTest1 HeapIncDecEltTest2 HeapIncDecEltTest3 HeapIncDecEltTest4 HeapIncDecEltTest5 , ,
3,Sun Nov 01 23:51:48 EST 2020,81,11,Assignment4Suite,CacheTest0 CacheTest1 CacheTest2 CacheTest3 CacheTest4 CacheTest5 CacheTest6 CacheTest7 CacheTest8 CacheTest9 HeapDelMinTest0 HeapDelMinTest1 HeapDelMinTest10 HeapDelMinTest11 HeapDelMinTest12 HeapDelMinTest13 HeapDelMinTest14 HeapDelMinTest2 HeapDelMinTest3 HeapDelMinTest4 HeapDelMinTest5 HeapDelMinTest6 HeapDelMinTest7 HeapDelMinTest8 HeapDelMinTest9 HeapIncDecEltTest0 HeapIncDecEltTest1+ HeapIncDecEltTest2+ HeapIncDecEltTest3+ HeapIncDecEltTest4+ HeapIncDecEltTest5+ HeapInsertTest0 HeapInsertTest1 HeapInsertTest2 HeapInsertTest3 HeapInsertTest4 , ,CacheHeapTest0 CacheHeapTest1 CacheHeapTest2 CacheHeapTest3 CacheMapTest0 CacheMapTest1 CacheMapTest2 CacheMapTest3 , ,
4,Mon Nov 02 00:04:19 EST 2020,40,-41,Assignment4Suite,CacheHeapTest0+ CacheHeapTest1+ CacheHeapTest2+ CacheMapTest0+ CacheMapTest1+ CacheMapTest3+ CacheTest0 CacheTest1 CacheTest2 CacheTest3 CacheTest4 CacheTest5 CacheTest6 CacheTest7 CacheTest8 CacheTest9 HeapDelMinTest0 HeapDelMinTest1 , ,CacheHeapTest3 CacheMapTest2 HeapDelMinTest10- HeapDelMinTest11- HeapDelMinTest12- HeapDelMinTest13- HeapDelMinTest14- HeapDelMinTest2- HeapDelMinTest3- HeapDelMinTest4- HeapDelMinTest5- HeapDelMinTest6- HeapDelMinTest7- HeapDelMinTest8- HeapDelMinTest9- HeapIncDecEltTest0- HeapIncDecEltTest1- HeapIncDecEltTest2- HeapIncDecEltTest3- HeapIncDecEltTest4- HeapIncDecEltTest5- HeapInsertTest0- HeapInsertTest1- HeapInsertTest2- HeapInsertTest3- HeapInsertTest4- , ,
5,Mon Nov 02 00:05:40 EST 2020,81,41,Assignment4Suite,CacheTest0 CacheTest1 CacheTest2 CacheTest3 CacheTest4 CacheTest5 CacheTest6 CacheTest7 CacheTest8 CacheTest9 HeapDelMinTest0 HeapDelMinTest1 HeapDelMinTest10+ HeapDelMinTest11+ HeapDelMinTest12+ HeapDelMinTest13+ HeapDelMinTest14+ HeapDelMinTest2+ HeapDelMinTest3+ HeapDelMinTest4+ HeapDelMinTest5+ HeapDelMinTest6+ HeapDelMinTest7+ HeapDelMinTest8+ HeapDelMinTest9+ HeapIncDecEltTest0+ HeapIncDecEltTest1+ HeapIncDecEltTest2+ HeapIncDecEltTest3+ HeapIncDecEltTest4+ HeapIncDecEltTest5+ HeapInsertTest0+ HeapInsertTest1+ HeapInsertTest2+ HeapInsertTest3+ HeapInsertTest4+ , ,CacheHeapTest0- CacheHeapTest1- CacheHeapTest2- CacheHeapTest3 CacheMapTest0- CacheMapTest1- CacheMapTest2 CacheMapTest3- , ,
6,Mon Nov 02 00:08:00 EST 2020,29,-52,Assignment4Suite,CacheMapTest3+ CacheTest0 CacheTest1 CacheTest2 CacheTest3 CacheTest4 CacheTest5 CacheTest6 CacheTest7 CacheTest8 CacheTest9 HeapDelMinTest0 HeapDelMinTest1 , ,CacheHeapTest0 CacheHeapTest1 CacheHeapTest2 CacheHeapTest3 CacheMapTest0 CacheMapTest1 CacheMapTest2 HeapDelMinTest10- HeapDelMinTest11- HeapDelMinTest12- HeapDelMinTest13- HeapDelMinTest14- HeapDelMinTest2- HeapDelMinTest3- HeapDelMinTest4- HeapDelMinTest5- HeapDelMinTest6- HeapDelMinTest7- HeapDelMinTest8- HeapDelMinTest9- HeapIncDecEltTest0- HeapIncDecEltTest1- HeapIncDecEltTest2- HeapIncDecEltTest3- HeapIncDecEltTest4- HeapIncDecEltTest5- HeapInsertTest0- HeapInsertTest1- HeapInsertTest2- HeapInsertTest3- HeapInsertTest4- , ,
7,Mon Nov 02 00:08:24 EST 2020,81,52,Assignment4Suite,CacheTest0 CacheTest1 CacheTest2 CacheTest3 CacheTest4 CacheTest5 CacheTest6 CacheTest7 CacheTest8 CacheTest9 HeapDelMinTest0 HeapDelMinTest1 HeapDelMinTest10+ HeapDelMinTest11+ HeapDelMinTest12+ HeapDelMinTest13+ HeapDelMinTest14+ HeapDelMinTest2+ HeapDelMinTest3+ HeapDelMinTest4+ HeapDelMinTest5+ HeapDelMinTest6+ HeapDelMinTest7+ HeapDelMinTest8+ HeapDelMinTest9+ HeapIncDecEltTest0+ HeapIncDecEltTest1+ HeapIncDecEltTest2+ HeapIncDecEltTest3+ HeapIncDecEltTest4+ HeapIncDecEltTest5+ HeapInsertTest0+ HeapInsertTest1+ HeapInsertTest2+ HeapInsertTest3+ HeapInsertTest4+ , ,CacheHeapTest0 CacheHeapTest1 CacheHeapTest2 CacheHeapTest3 CacheMapTest0 CacheMapTest1 CacheMapTest2 CacheMapTest3- , ,
8,Mon Nov 02 00:09:41 EST 2020,40,-41,Assignment4Suite,CacheHeapTest0+ CacheHeapTest1+ CacheHeapTest2+ CacheMapTest0+ CacheMapTest1+ CacheMapTest3+ CacheTest0 CacheTest1 CacheTest2 CacheTest3 CacheTest4 CacheTest5 CacheTest6 CacheTest7 CacheTest8 CacheTest9 HeapDelMinTest0 HeapDelMinTest1 , ,CacheHeapTest3 CacheMapTest2 HeapDelMinTest10- HeapDelMinTest11- HeapDelMinTest12- HeapDelMinTest13- HeapDelMinTest14- HeapDelMinTest2- HeapDelMinTest3- HeapDelMinTest4- HeapDelMinTest5- HeapDelMinTest6- HeapDelMinTest7- HeapDelMinTest8- HeapDelMinTest9- HeapIncDecEltTest0- HeapIncDecEltTest1- HeapIncDecEltTest2- HeapIncDecEltTest3- HeapIncDecEltTest4- HeapIncDecEltTest5- HeapInsertTest0- HeapInsertTest1- HeapInsertTest2- HeapInsertTest3- HeapInsertTest4- , ,
9,Mon Nov 02 00:10:34 EST 2020,81,41,Assignment4Suite,CacheTest0 CacheTest1 CacheTest2 CacheTest3 CacheTest4 CacheTest5 CacheTest6 CacheTest7 CacheTest8 CacheTest9 HeapDelMinTest0 HeapDelMinTest1 HeapDelMinTest10+ HeapDelMinTest11+ HeapDelMinTest12+ HeapDelMinTest13+ HeapDelMinTest14+ HeapDelMinTest2+ HeapDelMinTest3+ HeapDelMinTest4+ HeapDelMinTest5+ HeapDelMinTest6+ HeapDelMinTest7+ HeapDelMinTest8+ HeapDelMinTest9+ HeapIncDecEltTest0+ HeapIncDecEltTest1+ HeapIncDecEltTest2+ HeapIncDecEltTest3+ HeapIncDecEltTest4+ HeapIncDecEltTest5+ HeapInsertTest0+ HeapInsertTest1+ HeapInsertTest2+ HeapInsertTest3+ HeapInsertTest4+ , ,CacheHeapTest0- CacheHeapTest1- CacheHeapTest2- CacheHeapTest3 CacheMapTest0- CacheMapTest1- CacheMapTest2 CacheMapTest3- , ,
